#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1128201	1128848	-	EPJJIE_002474	24.3	5.3		
contig_1	1129237	1129362	-	EPJJIE_002475	4.6	8.1		
contig_1	1129359	1129508	-	EPJJIE_002476	5.3	10.0		
contig_1	1129593	1129802	-	EPJJIE_002477	7.8	9.4		
contig_1	1130398	1130796	-	EPJJIE_002478	15.8	5.0	PF07980.17|SusD_RagB	PFAM:PF07980.17
contig_1	1130793	1131023	-	EPJJIE_002479	9.5	6.2		
contig_1	1131020	1131472	-	EPJJIE_002480	17.2	5.9		
contig_1	1131523	1131825	-	EPJJIE_002481	11.3	5.6		
contig_1	1131963	1132268	-	EPJJIE_002482	11.4	7.9		
contig_1	1132237	1132458	-	EPJJIE_002483	8.4	8.0		
contig_1	1132619	1132891	-	EPJJIE_002484	9.9	10.2		
contig_1	1132973	1133194	-	EPJJIE_002485	8.3	4.9		
contig_1	1133270	1133566	-	EPJJIE_002486	11.1	5.2		
contig_1	1133577	1133834	-	EPJJIE_002487	9.2	6.2		
contig_1	1133831	1134049	-	EPJJIE_002488	8.0	6.0		
contig_1	1134117	1134353	-	EPJJIE_002489	9.0	4.4		
contig_1	1134538	1134762	-	EPJJIE_002490	7.9	5.6	PF07715.20|Plug	PFAM:PF07715.20
contig_1	1134770	1134958	-	EPJJIE_002491	6.4	4.7	PF13715.12|CarbopepD_reg_2	PFAM:PF13715.12
contig_1	1135665	1136003	-	EPJJIE_002492	13.1	8.9	PF07980.17|SusD_RagB	PFAM:PF07980.17
contig_1	1136015	1136317	-	EPJJIE_002493	11.3	5.2		
contig_1	1136442	1136558	-	EPJJIE_002494	4.3	4.8		
contig_1	1136567	1136743	-	EPJJIE_002495	6.7	4.3		
contig_1	1136744	1136959	-	EPJJIE_002496	7.9	5.5		
contig_1	1136916	1137287	-	EPJJIE_002497	14.5	9.2	PF14322.12|SusD-like_3	PFAM:PF14322.12
contig_1	1137658	1138074	-	EPJJIE_002498	15.7	9.1		
contig_1	1138023	1138427	-	EPJJIE_002499	15.1	9.3		
contig_1	1138842	1139234	-	EPJJIE_002500	15.4	8.8		
contig_1	1139451	1139657	-	EPJJIE_002501	8.0	4.7		
contig_1	1139726	1139872	-	EPJJIE_002502	5.0	5.9		
contig_1	1139826	1139996	-	EPJJIE_002503	6.3	5.1		
contig_1	1140599	1140817	-	EPJJIE_002504	8.2	10.3		
contig_1	1141728	1141898	+	EPJJIE_002505	6.8	8.1	PF04542.20|Sigma70_r2	PFAM:PF04542.20
contig_1	1142384	1142527	+	EPJJIE_002506	5.8	8.0		
contig_1	1142703	1142927	+	EPJJIE_002507	8.2	8.1		
contig_1	1143289	1143456	+	EPJJIE_002508	6.7	10.7		
contig_1	1143486	1143602	+	EPJJIE_002509	4.5	6.0		
contig_1	1143727	1144044	+	EPJJIE_002510	11.9	9.1		
contig_1	1144124	1144249	+	EPJJIE_002511	4.5	8.0		
contig_1	1144412	1144582	+	EPJJIE_002512	5.8	4.8	PF07715.20|Plug	PFAM:PF07715.20
contig_1	1144828	1145190	+	EPJJIE_002513	13.2	8.0		
contig_1	1145175	1145336	+	EPJJIE_002514	6.1	5.7		
contig_1	1145389	1145508	+	EPJJIE_002515	4.7	8.1		
contig_1	1145517	1145747	+	EPJJIE_002516	8.7	9.1		
contig_1	1145753	1146568	+	EPJJIE_002517	30.0	5.9		
contig_1	1146666	1146893	+	EPJJIE_002518	8.4	8.8		
contig_1	1146916	1147227	+	EPJJIE_002519	11.6	4.4		
contig_1	1147224	1147676	+	EPJJIE_002520	17.4	5.3	PF14322.12|SusD-like_3	PFAM:PF14322.12
contig_1	1147615	1147887	+	EPJJIE_002521	10.2	5.5		
contig_1	1147878	1148171	+	EPJJIE_002522	10.9	4.8	PF07980.17|SusD_RagB	PFAM:PF07980.17
contig_1	1148186	1148557	+	EPJJIE_002523	14.4	7.7	PF07980.17|SusD_RagB	PFAM:PF07980.17
contig_1	1148710	1148913	+	EPJJIE_002524	8.0	8.0		
contig_1	1149120	1149530	+	EPJJIE_002525	16.4	6.4		
contig_1	1149482	1150009	+	EPJJIE_002526	20.3	9.7		
contig_1	1150020	1150109	+	EPJJIE_002527	3.6	9.2		
contig_1	1150146	1150454	+	EPJJIE_002528	11.7	4.6		
contig_1	1150508	1150648	+	EPJJIE_002529	5.5	4.3		
contig_1	1150967	1151191	+	EPJJIE_002530	8.7	8.5	PF07676.18|PD40	PFAM:PF07676.18
contig_1	1151343	1151555	+	EPJJIE_002531	8.1	10.4		
contig_1	1151801	1151995	+	EPJJIE_002532	7.0	6.5		
contig_1	1151977	1152183	+	EPJJIE_002533	7.9	8.0	PF00933.27|Glyco_hydro_3	PFAM:PF00933.27
contig_1	1152327	1152680	+	EPJJIE_002534	13.4	8.4	PF00933.27|Glyco_hydro_3	PFAM:PF00933.27
contig_1	1152671	1153321	+	EPJJIE_002535	23.8	7.6	PF01915.27|Glyco_hydro_3_C	PFAM:PF01915.27
contig_1	1153330	1154319	+	EPJJIE_002536	37.2	6.7	PF01915.27|Glyco_hydro_3_C	PFAM:PF01915.27
contig_1	1154582	1154716	-	EPJJIE_002537	5.0	4.6	PF00165.29|HTH_AraC	PFAM:PF00165.29
contig_1	1154709	1154978	-	EPJJIE_002538	10.5	8.7		
contig_1	1155423	1155719	+	EPJJIE_002539	10.7	8.8		
contig_1	1155658	1155864	+	EPJJIE_002540	7.4	6.5		
contig_1	1155966	1156820	+	EPJJIE_002541	32.1	8.9		
contig_1	1156817	1157731	+	EPJJIE_002542	34.7	6.6		
contig_1	1157683	1157892	+	EPJJIE_002543	8.0	4.1		
contig_1	1158026	1158469	+	EPJJIE_002544	17.1	5.5	PF13431.12|TPR_17	PFAM:PF13431.12
contig_1	1158466	1158660	+	EPJJIE_002545	7.1	11.1		
contig_1	1158641	1158787	+	EPJJIE_002546	5.6	5.1		
contig_1	1158820	1159293	+	EPJJIE_002547	17.9	7.7	PF00515.34|TPR_1, PF07719.23|TPR_2, PF12895.13|ANAPC3, PF13174.12|TPR_6, PF13414.12|TPR_11, PF13432.12|TPR_16, PF14559.12|TPR_19	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF12895.13, PFAM:PF13174.12, PFAM:PF13414.12, PFAM:PF13432.12, PFAM:PF14559.12
contig_1	1159266	1160108	+	EPJJIE_002548	32.7	8.8	PF13428.12|TPR_14	PFAM:PF13428.12
contig_1	1160302	1160721	+	EPJJIE_002549	16.1	6.7	PF02837.24|Glyco_hydro_2_N	PFAM:PF02837.24
contig_1	1160754	1160864	+	EPJJIE_002550	4.1	5.0		
contig_1	1160830	1160982	+	EPJJIE_002551	5.3	9.9		
contig_1	1160996	1161514	+	EPJJIE_002552	19.7	9.9	PF00703.27|Glyco_hydro_2	PFAM:PF00703.27
contig_1	1161558	1162139	+	EPJJIE_002553	22.0	9.5		
contig_1	1162079	1162348	+	EPJJIE_002554	10.5	9.6		
contig_1	1162370	1162678	+	EPJJIE_002555	11.8	9.3		
contig_1	1162792	1163001	+	EPJJIE_002556	7.8	9.2		
contig_1	1163183	1163515	+	EPJJIE_002557	12.4	7.6		
contig_1	1163517	1163888	+	EPJJIE_002558	13.7	10.0		
contig_1	1164417	1165079	+	EPJJIE_002559	25.5	6.4	PF22124.2|Glyco_hydro_95_cat	PFAM:PF22124.2
contig_1	1165254	1165409	+	EPJJIE_002560	5.7	9.7		
contig_1	1166550	1166678	+	EPJJIE_002561	4.4	9.8		
contig_1	1166796	1167125	+	EPJJIE_002562	12.4	8.9	PF01408.29|GFO_IDH_MocA	PFAM:PF01408.29
contig_1	1167086	1167331	+	EPJJIE_002563	9.6	5.0	PF21252.2|Glyco_hydro_109_C	PFAM:PF21252.2
contig_1	1167487	1167672	+	EPJJIE_002564	6.8	6.7		
contig_1	1167738	1167947	+	EPJJIE_002565	8.0	5.6		
contig_1	1168060	1168350	+	EPJJIE_002566	10.7	9.1		
contig_1	1168423	1168905	+	EPJJIE_002567	18.1	9.5	PF10035.14|DUF2179	PFAM:PF10035.14
contig_1	1169012	1169134	+	EPJJIE_002568	4.4	6.5		
contig_1	1169417	1169884	+	EPJJIE_002569	17.5	5.4	PF02837.24|Glyco_hydro_2_N	PFAM:PF02837.24
contig_1	1169981	1170304	+	EPJJIE_002570	12.6	7.8	PF02836.23|Glyco_hydro_2_C	PFAM:PF02836.23
contig_1	1170533	1171069	+	EPJJIE_002571	20.6	5.8	PF02836.23|Glyco_hydro_2_C	PFAM:PF02836.23
contig_1	1171056	1171184	+	EPJJIE_002572	4.6	10.0		
contig_1	1171488	1171988	+	EPJJIE_002573	18.6	5.6	PF02929.23|Bgal_small_N	PFAM:PF02929.23
contig_1	1172138	1172314	+	EPJJIE_002574	6.7	9.0	PF02929.23|Bgal_small_N	PFAM:PF02929.23
contig_1	1172336	1172590	+	EPJJIE_002575	9.5	9.6		
contig_1	1172756	1173373	+	EPJJIE_002576	23.7	6.2		
contig_1	1173303	1173845	-	EPJJIE_002577	20.3	4.7		
contig_1	1174118	1174426	-	EPJJIE_002578	12.2	9.7	PF00892.27|EamA	PFAM:PF00892.27
contig_1	1174479	1174793	-	EPJJIE_002579	11.9	9.9	PF00892.27|EamA	PFAM:PF00892.27
contig_1	1175005	1175343	-	EPJJIE_002580	12.9	5.6	PF01416.25|PseudoU_synth_1	PFAM:PF01416.25
contig_1	1175340	1175672	-	EPJJIE_002581	12.6	8.6	PF01416.25|PseudoU_synth_1	PFAM:PF01416.25
contig_1	1175621	1175764	-	EPJJIE_002582	5.6	7.9		
contig_1	1175844	1176296	-	EPJJIE_002583	17.0	6.1	PF01613.24|Flavin_Reduct	PFAM:PF01613.24
contig_1	1176318	1176824	-	EPJJIE_002584	18.9	8.7	PF14730.11|DUF4468	PFAM:PF14730.11
contig_1	1176821	1176994	-	EPJJIE_002585	6.5	8.7		
contig_1	1177057	1177440	-	EPJJIE_002586	14.5	5.9		
contig_1	1177434	1177727	-	EPJJIE_002587	11.1	10.2		
contig_1	1177708	1177992	-	EPJJIE_002588	10.4	5.7		
contig_1	1177941	1178372	-	EPJJIE_002589	16.0	8.6		
contig_1	1178414	1178530	-	EPJJIE_002590	4.3	6.0		
contig_1	1178506	1178682	-	EPJJIE_002591	6.9	9.3		
contig_1	1178667	1178867	-	EPJJIE_002592	7.7	9.4		
contig_1	1179023	1179295	+	EPJJIE_002593	10.6	6.7		
contig_1	1179610	1180164	+	EPJJIE_002594	20.6	4.8		
contig_1	1180115	1180249	+	EPJJIE_002595	5.0	10.0		
contig_1	1180311	1180478	+	EPJJIE_002596	6.2	9.2		
contig_1	1180471	1180779	+	EPJJIE_002597	11.9	11.7		
contig_1	1180844	1181131	+	EPJJIE_002598	10.6	9.8		
contig_1	1181162	1181422	+	EPJJIE_002599	10.3	5.9		
contig_1	1181537	1181809	-	EPJJIE_002600	10.4	5.5		
contig_1	1182949	1183083	+	EPJJIE_002602	5.3	9.5		
contig_1	1183152	1183628	+	EPJJIE_002603	17.5	5.2	PF01259.24|SAICAR_synt	PFAM:PF01259.24
contig_1	1183597	1183818	+	EPJJIE_002604	8.6	5.3	PF01259.24|SAICAR_synt	PFAM:PF01259.24
contig_1	1183781	1184047	+	EPJJIE_002605	10.2	5.6		
contig_1	1184207	1184560	+	EPJJIE_002606	13.5	9.6	PF13649.12|Methyltransf_25	PFAM:PF13649.12
contig_1	1184982	1185299	-	EPJJIE_002607	12.7	8.9		
contig_1	1185409	1185675	+	EPJJIE_002608	10.1	7.7		
contig_1	1185679	1185903	+	EPJJIE_002609	8.5	9.7		
contig_1	1185855	1186601	+	EPJJIE_002610	28.6	8.6	PF00326.27|Peptidase_S9, PF12146.15|Hydrolase_4	PFAM:PF00326.27, PFAM:PF12146.15
contig_1	1186816	1187154	+	EPJJIE_002611	12.4	8.4	PF04536.20|TPM_phosphatase	PFAM:PF04536.20
contig_1	1187280	1187582	+	EPJJIE_002612	10.8	6.3		
contig_1	1187648	1188064	+	EPJJIE_002613	15.3	5.5		
contig_1	1188045	1188200	+	EPJJIE_002614	5.8	9.2		
contig_1	1188431	1188559	-	EPJJIE_002615	4.8	9.4		
contig_1	1188556	1188720	-	EPJJIE_002616	6.0	10.7		
contig_1	1189002	1189403	+	EPJJIE_002617	14.2	4.6	PF00586.29|AIRS	PFAM:PF00586.29
contig_1	1189458	1189751	+	EPJJIE_002618	10.7	7.7		
contig_1	1189795	1190019	+	EPJJIE_002619	8.6	4.9	PF02769.27|AIRS_C	PFAM:PF02769.27
contig_1	1190199	1190495	+	EPJJIE_002620	11.3	4.6	PF03462.23|PCRF	PFAM:PF03462.23
contig_1	1190554	1190763	+	EPJJIE_002621	7.8	8.8	PF03462.23|PCRF	PFAM:PF03462.23
contig_1	1190712	1190975	+	EPJJIE_002622	9.6	4.9	PF00472.26|RF-1	PFAM:PF00472.26
contig_1	1190986	1191252	+	EPJJIE_002623	10.3	7.8		
contig_1	1191301	1191726	+	EPJJIE_002624	16.3	5.5	PF00215.30|OMPdecase	PFAM:PF00215.30
contig_1	1191859	1192122	+	EPJJIE_002625	9.4	7.8		
contig_1	1192214	1192486	+	EPJJIE_002626	10.1	9.8		
contig_1	1192486	1193352	+	EPJJIE_002627	33.6	6.4		
contig_1	1193435	1194058	+	EPJJIE_002628	22.4	6.3	PF00132.30|Hexapep, PF04613.19|LpxD	PFAM:PF00132.30, PFAM:PF04613.19
contig_1	1194094	1194474	+	EPJJIE_002629	13.5	8.8	PF00132.30|Hexapep	PFAM:PF00132.30
contig_1	1194718	1194855	+	EPJJIE_002630	5.0	4.9		
contig_1	1195140	1195688	+	EPJJIE_002631	20.6	8.6	PF07977.19|FabA	PFAM:PF07977.19
contig_1	1195685	1196095	+	EPJJIE_002632	15.3	9.4	PF00132.30|Hexapep, PF07977.19|FabA	PFAM:PF00132.30, PFAM:PF07977.19
contig_1	1196079	1196435	+	EPJJIE_002633	12.8	7.9	PF00132.30|Hexapep	PFAM:PF00132.30
contig_1	1196374	1196640	+	EPJJIE_002634	10.0	6.6	PF13720.11|Acetyltransf_11	PFAM:PF13720.11
contig_1	1196939	1197076	+	EPJJIE_002635	5.4	4.4		
contig_1	1197073	1197183	+	EPJJIE_002636	4.1	9.4		
contig_1	1197141	1197341	+	EPJJIE_002637	7.1	4.1		
contig_1	1197355	1197903	+	EPJJIE_002638	20.2	5.3	PF01715.23|IPPT, PF01745.22|IPT	PFAM:PF01715.23, PFAM:PF01745.22
contig_1	1198028	1198225	+	EPJJIE_002639	8.0	5.8	PF01715.23|IPPT	PFAM:PF01715.23
contig_1	1198192	1198359	+	EPJJIE_002640	6.8	9.2		
contig_1	1198642	1198800	+	EPJJIE_002641	5.8	4.1		
contig_1	1198982	1199392	+	EPJJIE_002642	15.6	9.1	PF17170.10|DUF5128	PFAM:PF17170.10
contig_1	1199521	1199871	+	EPJJIE_002643	13.7	9.3		
contig_1	1200037	1200318	-	EPJJIE_002644	10.1	6.1	PF02518.31|HATPase_c, PF13581.12|HATPase_c_2	PFAM:PF02518.31, PFAM:PF13581.12
contig_1	1200273	1200767	-	EPJJIE_002645	19.4	5.6	PF07730.19|HisKA_3	PFAM:PF07730.19
contig_1	1200746	1200904	-	EPJJIE_002646	6.1	10.4		
contig_1	1200956	1201189	-	EPJJIE_002647	9.4	5.3		
contig_1	1201228	1201422	-	EPJJIE_002648	7.3	4.2		
contig_1	1201658	1201759	-	EPJJIE_002649	3.8	9.2		
contig_1	1201740	1201994	-	EPJJIE_002650	9.9	8.9		
contig_1	1202162	1202275	-	EPJJIE_002651	4.5	4.5		
contig_1	1202325	1202717	-	EPJJIE_002652	14.3	8.8	PF07715.20|Plug	PFAM:PF07715.20
contig_1	1202690	1202887	-	EPJJIE_002653	7.5	10.0		
contig_1	1202884	1203333	-	EPJJIE_002654	17.2	8.9	PF05569.17|Peptidase_M56	PFAM:PF05569.17
contig_1	1203367	1203618	-	EPJJIE_002655	9.6	6.7		
contig_1	1203707	1203991	-	EPJJIE_002656	10.6	6.8		
contig_1	1203975	1204067	-	EPJJIE_002657	3.4	5.1		
contig_1	1204494	1204937	+	EPJJIE_002658	17.0	6.3	PF08885.17|GSCFA	PFAM:PF08885.17
contig_1	1204885	1205130	+	EPJJIE_002659	9.2	8.4	PF08885.17|GSCFA	PFAM:PF08885.17
contig_1	1205179	1205415	+	EPJJIE_002660	9.5	7.8	PF08885.17|GSCFA	PFAM:PF08885.17
contig_1	1205744	1206403	+	EPJJIE_002661	24.7	6.1	PF08245.18|Mur_ligase_M	PFAM:PF08245.18
contig_1	1206358	1206540	+	EPJJIE_002662	6.7	4.8		
contig_1	1206541	1206828	-	EPJJIE_002663	10.7	8.2		
contig_1	1206915	1207349	+	EPJJIE_002664	16.3	9.2	PF01168.26|Ala_racemase_N	PFAM:PF01168.26
contig_1	1207564	1207854	+	EPJJIE_002665	10.6	9.5	PF00842.27|Ala_racemase_C	PFAM:PF00842.27
contig_1	1207824	1208012	+	EPJJIE_002666	7.0	4.1	PF00842.27|Ala_racemase_C	PFAM:PF00842.27
contig_1	1208310	1208537	+	EPJJIE_002667	8.3	6.3		
contig_1	1208571	1209074	+	EPJJIE_002668	18.8	8.2		
contig_1	1209022	1209489	+	EPJJIE_002669	18.0	9.5		
contig_1	1209486	1210433	+	EPJJIE_002670	36.4	8.7		
contig_1	1210427	1211368	+	EPJJIE_002671	36.5	9.6		
contig_1	1211520	1211972	+	EPJJIE_002672	16.7	6.1	PF00580.27|UvrD-helicase, PF13086.12|AAA_11, PF13245.12|AAA_19	PFAM:PF00580.27, PFAM:PF13086.12, PFAM:PF13245.12
contig_1	1211995	1212207	+	EPJJIE_002673	7.8	4.8	PF13086.12|AAA_11	PFAM:PF13086.12
contig_1	1212615	1212905	+	EPJJIE_002674	11.1	7.9	PF13087.12|AAA_12	PFAM:PF13087.12
contig_1	1213387	1214016	-	EPJJIE_002676	23.7	5.4	PF09113.15|N-glycanase_C	PFAM:PF09113.15
contig_1	1213970	1214572	-	EPJJIE_002677	22.5	9.5	PF09112.15|N-glycanase_N	PFAM:PF09112.15
contig_1	1215656	1215829	-	EPJJIE_002679	6.8	10.9	PF01120.23|Alpha_L_fucos	PFAM:PF01120.23
contig_1	1215802	1215927	-	EPJJIE_002680	4.5	6.0		
contig_1	1216349	1216525	+	EPJJIE_002681	6.7	9.9		
contig_1	1216604	1216879	+	EPJJIE_002682	10.2	8.6		
contig_1	1217006	1217305	+	EPJJIE_002683	11.7	6.6		
contig_1	1217324	1217530	+	EPJJIE_002684	7.5	11.1		
contig_1	1217527	1217847	+	EPJJIE_002685	11.2	9.0		
contig_1	1217918	1218145	-	EPJJIE_002686	8.7	9.9	PF12833.13|HTH_18	PFAM:PF12833.13
contig_1	1218145	1218882	-	EPJJIE_002687	27.9	4.8	PF00072.30|Response_reg	PFAM:PF00072.30
contig_1	1218949	1219269	-	EPJJIE_002688	11.7	4.8	PF02518.31|HATPase_c	PFAM:PF02518.31
contig_1	1219437	1219715	-	EPJJIE_002689	11.3	10.4		
contig_1	1219712	1220227	-	EPJJIE_002690	19.6	5.7	PF07494.17|Reg_prop	PFAM:PF07494.17
contig_1	1220736	1221092	-	EPJJIE_002691	13.8	9.1	PF07494.17|Reg_prop	PFAM:PF07494.17
contig_1	1221149	1221364	-	EPJJIE_002692	8.0	6.8		
contig_1	1221540	1221761	-	EPJJIE_002693	8.7	6.1		
contig_1	1221752	1222003	-	EPJJIE_002694	9.7	8.7	PF07494.17|Reg_prop	PFAM:PF07494.17
contig_1	1222209	1222316	+	EPJJIE_002695	3.8	8.3		
contig_1	1222595	1223251	+	EPJJIE_002696	23.9	6.9	PF07715.20|Plug	PFAM:PF07715.20
contig_1	1223463	1223732	+	EPJJIE_002697	9.8	9.3		
contig_1	1223769	1224473	+	EPJJIE_002698	26.6	5.9	PF00593.30|TonB_dep_Rec_b-barrel	PFAM:PF00593.30
contig_1	1224631	1225155	+	EPJJIE_002699	19.4	5.1		
contig_1	1225464	1226495	+	EPJJIE_002700	38.6	5.5	PF14322.12|SusD-like_3	PFAM:PF14322.12
contig_1	1226617	1227369	+	EPJJIE_002701	28.7	5.4	PF07980.17|SusD_RagB	PFAM:PF07980.17
contig_1	1229035	1229751	+	EPJJIE_002703	27.3	6.2	PF01120.23|Alpha_L_fucos	PFAM:PF01120.23
contig_1	1229753	1230208	+	EPJJIE_002704	17.2	7.8		
contig_1	1230503	1231504	+	EPJJIE_002705	37.9	8.5		
contig_1	1231655	1231975	+	EPJJIE_002706	11.7	6.9		
contig_1	1232027	1232443	+	EPJJIE_002707	15.7	7.8		
contig_1	1232476	1232991	+	EPJJIE_002708	19.3	6.3		
contig_1	1232976	1233281	+	EPJJIE_002709	11.3	6.9		
contig_1	1233223	1233396	+	EPJJIE_002710	6.4	8.1		
contig_1	1233393	1233857	+	EPJJIE_002711	17.3	8.4		
contig_1	1233844	1234032	+	EPJJIE_002712	7.0	10.8		
contig_1	1234068	1234298	-	EPJJIE_002713	8.2	4.1	PF13242.12|Hydrolase_like	PFAM:PF13242.12
contig_1	1234295	1234717	-	EPJJIE_002714	15.7	7.1	PF00702.32|Hydrolase, PF08282.18|Hydrolase_3	PFAM:PF00702.32, PFAM:PF08282.18
contig_1	1234988	1235524	+	EPJJIE_002715	20.1	8.4		
contig_1	1235601	1236059	+	EPJJIE_002716	17.5	8.4		
contig_1	1236545	1236943	+	EPJJIE_002718	15.3	9.2	PF13026.12|DUF3887	PFAM:PF13026.12
contig_1	1237113	1237406	+	EPJJIE_002719	10.6	5.8		
contig_1	1237482	1237772	+	EPJJIE_002720	11.1	6.8		
contig_1	1238453	1238941	+	EPJJIE_002721	18.6	8.9		
contig_1	1238896	1239579	+	EPJJIE_002722	25.0	9.7	PF00456.26|Transketolase_N	PFAM:PF00456.26
contig_1	1239576	1239761	+	EPJJIE_002723	6.8	5.4	PF02779.29|Transket_pyr	PFAM:PF02779.29
contig_1	1239767	1240324	+	EPJJIE_002724	21.0	9.4	PF02779.29|Transket_pyr, PF02780.25|Transketolase_C	PFAM:PF02779.29, PFAM:PF02780.25
contig_1	1240491	1240622	+	EPJJIE_002725	4.8	5.5	PF02254.24|TrkA_N, PF02558.23|ApbA	PFAM:PF02254.24, PFAM:PF02558.23
contig_1	1240579	1240971	+	EPJJIE_002726	14.4	7.8		
contig_1	1240968	1241456	+	EPJJIE_002727	18.3	5.5	PF02080.26|TrkA_C, PF02254.24|TrkA_N	PFAM:PF02080.26, PFAM:PF02254.24
contig_1	1241447	1241731	+	EPJJIE_002728	10.4	5.2		
contig_1	1241673	1241834	+	EPJJIE_002729	5.7	7.9	PF02080.26|TrkA_C	PFAM:PF02080.26
contig_1	1241854	1242354	+	EPJJIE_002730	18.7	7.8		
contig_1	1242373	1243305	+	EPJJIE_002731	34.0	8.8		
contig_1	1243426	1243659	+	EPJJIE_002732	8.8	7.8		
contig_1	1243955	1244341	+	EPJJIE_002733	14.4	8.4		
contig_1	1244928	1245179	+	EPJJIE_002735	9.5	5.6	PF00329.25|Complex1_30kDa	PFAM:PF00329.25
contig_1	1245256	1245819	+	EPJJIE_002736	21.9	6.4		
contig_1	1245776	1246525	+	EPJJIE_002737	28.0	7.0		
contig_1	1247646	1248107	+	EPJJIE_002739	17.2	9.4	PF00037.32|Fer4	PFAM:PF00037.32
contig_1	1249024	1249566	+	EPJJIE_002742	20.3	9.4	PF00361.26|Proton_antipo_M, PF00662.26|Proton_antipo_N	PFAM:PF00361.26, PFAM:PF00662.26
contig_1	1254010	1254222	-	EPJJIE_002746	7.7	6.7	PF02518.31|HATPase_c	PFAM:PF02518.31
contig_1	1254329	1256185	-	EPJJIE_002747	71.3	4.8	PF00512.31|HisKA, PF01590.32|GAF, PF08447.18|PAS_3, PF08448.16|PAS_4, PF13185.12|GAF_2	PFAM:PF00512.31, PFAM:PF01590.32, PFAM:PF08447.18, PFAM:PF08448.16, PFAM:PF13185.12
contig_1	1256424	1256768	-	EPJJIE_002748	13.5	5.2		
contig_1	1257005	1257289	+	EPJJIE_002749	10.2	10.0	PF13620.12|CarboxypepD_reg, PF13715.12|CarbopepD_reg_2	PFAM:PF13620.12, PFAM:PF13715.12
contig_1	1257304	1257831	+	EPJJIE_002750	19.3	9.7	PF07715.20|Plug	PFAM:PF07715.20
contig_1	1257855	1258592	+	EPJJIE_002751	27.6	8.9		
contig_1	1258597	1259385	+	EPJJIE_002752	30.1	5.1	PF00593.30|TonB_dep_Rec_b-barrel	PFAM:PF00593.30
contig_1	1259457	1259654	+	EPJJIE_002753	7.5	10.1		
contig_1	1259793	1259969	+	EPJJIE_002754	5.9	4.4		
contig_1	1259966	1260247	+	EPJJIE_002755	9.8	5.7		
contig_1	1260566	1260766	+	EPJJIE_002756	7.2	4.4		
contig_1	1260799	1261059	+	EPJJIE_002757	9.1	4.8		
contig_1	1261229	1261987	+	EPJJIE_002758	27.4	7.6		
contig_1	1261963	1262376	+	EPJJIE_002759	15.0	4.5		
contig_1	1262522	1262812	-	EPJJIE_002760	10.5	5.0		
contig_1	1263020	1263262	-	EPJJIE_002761	9.1	4.3	PF01042.26|Ribonuc_L-PSP	PFAM:PF01042.26
contig_1	1263367	1263945	-	EPJJIE_002762	21.1	6.3		
contig_1	1263915	1264151	-	EPJJIE_002763	9.2	9.0		
contig_1	1264155	1264490	-	EPJJIE_002764	13.0	6.1		
contig_1	1264475	1264705	-	EPJJIE_002765	8.8	6.0		
contig_1	1264830	1265600	-	EPJJIE_002766	28.3	7.6		
contig_1	1265742	1265966	-	EPJJIE_002767	8.7	6.1		
contig_1	1265914	1266147	-	EPJJIE_002768	8.7	4.7		
contig_1	1266144	1266809	-	EPJJIE_002769	24.7	9.1		
contig_1	1266850	1267125	-	EPJJIE_002770	10.3	7.6		
contig_1	1267143	1267361	-	EPJJIE_002771	8.3	6.2		
contig_1	1267454	1267816	-	EPJJIE_002772	13.8	5.7	PF07221.17|GlcNAc_2-epim	PFAM:PF07221.17
contig_1	1267801	1268325	-	EPJJIE_002773	20.5	8.4		
contig_1	1268322	1268633	-	EPJJIE_002774	12.2	5.4		
contig_1	1268645	1268971	-	EPJJIE_002775	12.0	8.8		
contig_1	1269095	1269925	-	EPJJIE_002776	30.9	8.8		
contig_1	1270079	1270687	-	EPJJIE_002777	22.5	5.6	PF04041.19|Glyco_hydro_130	PFAM:PF04041.19
contig_1	1270877	1271227	-	EPJJIE_002778	13.2	9.1		
contig_1	1271323	1271604	-	EPJJIE_002779	10.9	6.0		
contig_1	1271618	1272181	-	EPJJIE_002780	21.7	7.1	PF02156.21|Glyco_hydro_26	PFAM:PF02156.21
contig_1	1272145	1272384	-	EPJJIE_002781	8.3	9.9		
contig_1	1272520	1272957	+	EPJJIE_002782	15.7	11.8		
contig_1	1272926	1273480	-	EPJJIE_002783	20.1	5.6	PF01208.23|URO-D	PFAM:PF01208.23
contig_1	1273452	1273613	-	EPJJIE_002784	6.0	9.8		
contig_1	1273735	1274832	-	EPJJIE_002785	39.4	8.5	PF02310.24|B12-binding, PF02607.22|B12-binding_2	PFAM:PF02310.24, PFAM:PF02607.22
contig_1	1275009	1275200	-	EPJJIE_002786	7.2	8.0		
contig_1	1275448	1276224	-	EPJJIE_002787	28.4	5.4		
contig_1	1276230	1276352	-	EPJJIE_002788	4.6	4.8		
contig_1	1276388	1276699	-	EPJJIE_002789	12.0	9.8		
contig_1	1276654	1276980	-	EPJJIE_002790	12.5	6.1	PF01915.27|Glyco_hydro_3_C	PFAM:PF01915.27
